Date,Campaign Name,Ad Set,Ad,Spend,CPM,Impressions,Clicks,Add to Cart,Add Payment Info,Purchase
"April 3, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$96.00,$6.05,"15,859",168,6,2,1
"April 3, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$85.00,$5.73,"14,837",445,14,3,3
"April 3, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$60.00,$6.68,"8,978",208,10,3,2
"April 4, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$74.00,$5.65,"13,095",602,18,6,4
"April 4, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$95.00,$6.47,"14,691",482,17,6,4
"April 4, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$76.00,$6.16,"12,345",356,16,6,4
"April 4, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$68.00,$6.67,"10,190",332,10,3,2
"April 4, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$70.00,$5.60,"12,506",523,29,8,6
"April 4, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$80.00,$6.85,"11,684",673,38,13,9
"April 4, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$82.00,$6.58,"12,460",115,7,2,1
"April 4, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$68.00,$5.94,"11,450",227,9,3,2
"April 4, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$89.00,$5.65,"15,744",220,10,3,2
"April 5, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$79.00,$5.33,"14,817",667,38,10,7
"April 5, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$98.00,$5.94,"16,488",541,19,6,5
"April 5, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$82.00,$6.74,"12,166",361,20,7,5
"April 5, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$60.00,$5.17,"11,611",536,19,6,5
"April 5, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$100.00,$6.76,"14,784",943,30,11,10
"April 5, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$82.00,$6.26,"13,109",818,42,13,8
"April 5, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$88.00,$5.16,"17,041",201,12,3,2
"April 5, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$81.00,$6.86,"11,802",220,7,3,2
"April 5, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$89.00,$5.77,"15,435",370,20,7,5
"April 6, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$70.00,$6.97,"10,039",462,27,9,6
"April 6, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$80.00,$6.28,"12,740",571,25,7,4
"April 6, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$95.00,$5.81,"16,364",736,39,11,7
"April 6, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$74.00,$6.20,"11,931",426,18,5,3
"April 6, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$91.00,$6.32,"14,408",935,40,11,9
"April 6, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$64.00,$5.42,"11,801",708,26,9,7
"April 6, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$90.00,$6.60,"13,637",120,7,3,2
"April 6, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$93.00,$5.09,"18,259",383,13,5,3
"April 6, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$96.00,$5.66,"16,973",367,22,5,5
"April 7, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$64.00,$5.82,"10,990",648,31,9,8
"April 7, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$80.00,$6.07,"13,182",453,14,5,3
"April 7, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$92.00,$5.31,"17,342",749,40,15,11
"April 7, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$99.00,$6.36,"15,574",965,29,9,6
"April 7, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$94.00,$6.99,"13,447",621,29,9,7
"April 7, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$85.00,$6.91,"12,299",635,38,15,13
"April 7, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$98.00,$6.57,"14,922",155,7,3,2
"April 7, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$86.00,$5.69,"15,105",517,19,7,6
"April 7, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$62.00,$6.57,"9,431",189,11,4,3
"April 8, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$80.00,$6.10,"13,109",433,19,7,4
"April 8, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$67.00,$6.65,"10,070",387,12,4,3
"April 8, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$88.00,$5.73,"15,354",691,33,9,7
"April 8, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$82.00,$5.62,"14,578",719,41,13,10
"April 8, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$88.00,$6.03,"14,586",947,37,12,8
"April 8, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$69.00,$6.77,"10,193",697,26,10,8
"April 8, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$65.00,$6.29,"10,333",107,5,2,1
"April 8, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$85.00,$5.45,"15,596",449,17,6,4
"April 8, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$66.00,$5.65,"11,690",243,13,5,4
"April 9, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$79.00,$6.49,"12,173",706,36,12,8
"April 9, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$88.00,$6.38,"13,793",552,17,4,3
"April 9, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$63.00,$5.51,"11,434",494,15,4,3
"April 9, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$96.00,$5.07,"18,937",875,39,13,9
"April 9, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$65.00,$5.79,"11,233",408,15,5,4
"April 9, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$99.00,$6.72,"14,728","1,043",42,15,11
"April 9, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$65.00,$5.04,"12,896",155,9,3,2
"April 9, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$68.00,$5.51,"12,341",385,12,3,2
"April 9, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$61.00,$5.98,"10,200",180,7,3,2
"April 10, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$75.00,$6.26,"11,989",695,31,10,6
"April 10, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$65.00,$5.35,"12,151",447,13,5,3
"April 10, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$97.00,$6.39,"15,169",628,35,12,8
"April 10, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$70.00,$6.68,"10,480",429,15,6,4
"April 10, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$69.00,$6.74,"10,235",529,16,5,4
"April 10, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$77.00,$5.97,"12,896",696,27,8,6
"April 10, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$81.00,$5.03,"16,100",193,9,2,2
"April 10, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$97.00,$5.01,"19,357",395,16,5,4
"April 10, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$94.00,$5.85,"16,076",347,13,4,4
"April 11, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$71.00,$6.13,"11,589",371,20,6,5
"April 11, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$94.00,$6.28,"14,970",395,17,5,3
"April 11, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$85.00,$6.73,"12,625",648,29,8,5
"April 11, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$66.00,$5.34,"12,349",726,30,8,6
"April 11, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$69.00,$5.18,"13,324",513,16,7,5
"April 11, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$71.00,$6.99,"10,152",475,18,7,6
"April 11, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$77.00,$5.02,"15,349",123,5,1,1
"April 11, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$92.00,$6.30,"14,608",272,9,3,2
"April 11, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$72.00,$5.02,"14,337",327,17,6,4
"April 12, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$64.00,$6.24,"10,259",616,25,9,8
"April 12, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$63.00,$6.99,"9,011",260,10,3,2
"April 12, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$97.00,$5.37,"18,060",601,34,13,9
"April 12, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$70.00,$5.60,"12,502",525,22,8,5
"April 12, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$75.00,$6.53,"11,488",746,40,15,12
"April 12, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$80.00,$5.35,"14,956",808,31,10,6
"April 12, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$65.00,$6.63,"9,808",73,3,1,1
"April 12, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$100.00,$6.99,"14,304",335,13,4,3
"April 12, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$99.00,$5.60,"17,670",375,13,4,2
"April 13, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$83.00,$6.58,"12,609",618,24,7,5
"April 13, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$68.00,$6.46,"10,520",429,18,7,6
"April 13, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$79.00,$6.76,"11,686",536,26,10,7
"April 13, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$95.00,$5.48,"17,332",801,25,6,5
"April 13, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$99.00,$6.68,"14,825",799,45,15,13
"April 13, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$72.00,$6.54,"11,002",660,27,10,8
"April 13, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$91.00,$6.50,"13,995",143,7,3,2
"April 13, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$71.00,$6.81,"10,424",357,15,4,3
"April 13, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$62.00,$5.32,"11,656",173,9,3,2
"April 14, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$69.00,$6.87,"10,045",372,17,4,3
"April 14, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$62.00,$6.79,"9,134",292,9,3,2
"April 14, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$86.00,$5.76,"14,942",471,16,4,3
"April 14, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$83.00,$5.93,"14,004",647,21,5,4
"April 14, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$79.00,$5.36,"14,736",892,29,9,7
"April 14, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$96.00,$6.94,"13,838",681,29,10,8
"April 14, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$63.00,$5.93,"10,628",100,4,1,1
"April 14, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$77.00,$5.10,"15,112",308,18,7,4
"April 14, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$83.00,$5.59,"14,857",232,8,3,2
"April 15, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$95.00,$5.32,"17,840",642,36,11,8
"April 15, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$66.00,$6.13,"10,770",465,19,7,6
"April 15, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$67.00,$5.25,"12,771",368,22,7,6
"April 15, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$71.00,$6.51,"10,913",435,18,7,6
"April 15, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$64.00,$6.15,"10,411",458,16,5,4
"April 15, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$79.00,$5.88,"13,434",645,33,9,6
"April 15, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$100.00,$6.56,"15,240",119,5,2,2
"April 15, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$82.00,$5.37,"15,279",477,18,7,6
"April 15, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$68.00,$6.85,"9,921",218,8,3,2
"April 16, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$64.00,$6.03,"10,605",530,20,7,6
"April 16, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$92.00,$6.52,"14,113",384,12,3,3
"April 16, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$91.00,$6.13,"14,843",775,26,9,8
"April 16, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$95.00,$5.67,"16,745",862,29,8,5
"April 16, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$82.00,$5.92,"13,846",472,22,8,7
"April 16, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$98.00,$6.59,"14,879",893,32,10,9
"April 16, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$71.00,$6.06,"11,722",103,5,1,1
"April 16, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$86.00,$6.94,"12,400",402,14,5,3
"April 16, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$96.00,$5.83,"16,456",283,16,4,3
"April 17, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$67.00,$5.90,"11,351",568,22,7,6
"April 17, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$75.00,$5.32,"14,101",429,13,4,2
"April 17, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$81.00,$5.12,"15,807",825,27,10,7
"April 17, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$87.00,$6.81,"12,766",764,30,12,7
"April 17, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$67.00,$5.00,"13,392",751,41,16,10
"April 17, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$97.00,$5.79,"16,744","1,005",48,19,13
"April 17, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$95.00,$6.85,"13,859",133,4,1,1
"April 17, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$78.00,$5.04,"15,491",465,22,7,4
"April 17, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$73.00,$6.91,"10,567",135,7,3,2
"April 18, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$89.00,$5.39,"16,521",793,44,15,13
"April 18, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$71.00,$6.22,"11,420",512,29,10,7
"April 18, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$64.00,$5.24,"12,222",374,13,4,3
"April 18, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$75.00,$5.14,"14,581",505,30,10,7
"April 18, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$65.00,$5.54,"11,728",581,26,8,5
"April 18, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$91.00,$5.18,"17,579","1,245",61,19,14
"April 18, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$68.00,$5.01,"13,574",81,3,1,1
"April 18, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$91.00,$6.51,"13,980",445,24,9,7
"April 18, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$60.00,$5.79,"10,363",166,8,3,2
"April 19, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$88.00,$5.97,"14,729",825,44,17,12
"April 19, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$90.00,$5.91,"15,226",426,19,8,6
"April 19, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$99.00,$6.65,"14,876",669,31,8,5
"April 19, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$61.00,$6.49,"9,402",563,22,8,5
"April 19, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$87.00,$6.71,"12,957",499,19,6,6
"April 19, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$81.00,$6.66,"12,155",744,44,12,8
"April 19, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$91.00,$6.79,"13,397",88,5,2,1
"April 19, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$74.00,$5.12,"14,458",451,22,6,4
"April 19, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$94.00,$6.59,"14,273",274,15,4,2
"April 20, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$93.00,$5.96,"15,606",468,15,5,3
"April 20, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$83.00,$5.10,"16,273",417,18,6,4
"April 20, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$79.00,$6.77,"11,670",557,30,9,5
"April 20, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$99.00,$5.41,"18,313",923,51,16,12
"April 20, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$61.00,$6.59,"9,250",600,24,6,4
"April 20, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$62.00,$6.64,"9,338",482,19,5,4
"April 20, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$91.00,$5.70,"15,977",118,7,3,2
"April 20, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$89.00,$5.43,"16,401",453,20,6,4
"April 20, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$76.00,$6.97,"10,897",235,8,3,2
"April 21, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$67.00,$5.85,"11,452",618,36,10,7
"April 21, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$64.00,$6.06,"10,557",363,17,6,3
"April 21, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$83.00,$5.60,"14,822",574,28,10,8
"April 21, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$85.00,$5.21,"16,320",771,39,14,10
"April 21, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$60.00,$6.94,"8,641",466,23,7,5
"April 21, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$65.00,$6.27,"10,359",535,18,5,4
"April 21, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$81.00,$5.74,"14,120",85,3,1,1
"April 21, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$75.00,$5.32,"14,097",389,14,4,3
"April 21, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$98.00,$5.75,"17,036",368,12,5,3
"April 22, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$65.00,$6.51,"9,985",559,32,10,8
"April 22, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$76.00,$6.26,"12,150",583,20,5,4
"April 22, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$94.00,$6.32,"14,870",803,38,11,9
"April 22, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$95.00,$5.86,"16,201",783,23,8,5
"April 22, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$89.00,$5.33,"16,701",661,22,9,5
"April 22, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$74.00,$6.46,"11,453",797,27,8,6
"April 22, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$63.00,$6.15,"10,245",66,3,1,1
